review_id,reviewer_id,restaurant_id,restaurant_city,timestamp,rating,reviewer_total_reviews,is_local_guide
rev00001,u_eb16f701,r_4af030,NYC,2026-03-23,4.0,9,False
rev00002,u_9fd5dce8,r_4af030,NYC,2026-03-16,5.0,47,True
rev00003,u_0bd70be1,r_4af030,NYC,2026-03-13,5.0,6,False
rev00004,u_f289ee1c,r_4af030,NYC,2026-03-13,4.0,40,True
rev00005,u_d3c7baf2,r_4af030,NYC,2026-03-10,5.0,16,True
rev00006,u_d68a4bc6,r_4af030,NYC,2026-03-09,5.0,36,True
rev00007,u_2f4f559f,r_4af030,NYC,2026-03-08,5.0,468,True
rev00008,u_48647cbf,r_4af030,NYC,2026-03-08,5.0,64,True
rev00009,u_d9011e53,r_4af030,NYC,2026-02-26,1.0,25,True
rev00010,u_95568871,r_4af030,NYC,2026-02-22,5.0,17,True
rev00011,u_3bf9efec,r_4af030,NYC,2026-02-17,1.0,14,True
rev00012,u_c649af07,r_4af030,NYC,2026-02-16,5.0,103,True
rev00013,u_fab5b2b9,r_4af030,NYC,2026-02-13,5.0,1794,True
rev00014,u_09356897,r_4af030,NYC,2026-02-05,5.0,153,True
rev00015,u_0ce50f7d,r_4af030,NYC,2026-02-03,5.0,20,True
rev00016,u_0561be4e,r_4af030,NYC,2026-01-28,5.0,22,True
rev00017,u_473101ad,r_4af030,NYC,2026-01-26,5.0,3,False
rev00018,u_cb79e398,r_4af030,NYC,2026-01-22,5.0,94,True
rev00019,u_8be900ca,r_4af030,NYC,2026-01-20,4.0,101,True
rev00020,u_203bd317,r_4af030,NYC,2026-01-18,5.0,48,True
rev00021,u_93f1826c,r_4af030,NYC,2026-01-18,5.0,17,True
rev00022,u_007a3610,r_4af030,NYC,2026-01-16,5.0,40,True
rev00023,u_be3ef374,r_4af030,NYC,2026-01-14,5.0,109,True
rev00024,u_e9b22ff5,r_4af030,NYC,2026-01-12,5.0,53,True
rev00025,u_e9e967b9,r_4af030,NYC,2026-01-11,5.0,8,False
rev00026,u_11d87de2,r_4af030,NYC,2026-01-09,5.0,34,True
rev00027,u_7a18f779,r_4af030,NYC,2026-01-06,3.0,2,False
rev00028,u_63a796fe,r_4af030,NYC,2026-01-05,3.0,404,True
