restaurant_id,label_safe_pick
r_5c8ce9,1
r_f460ec,1
r_1a9001,1
r_0827ea,1
r_e51c26,1
r_780246,1
r_b6aae3,1
r_4b9f73,1
r_ea4ea4,1
r_6d9b6b,1
r_34760b,1
r_7ab176,1
r_bcf94f,1
r_c13270,1
r_4b267f,1
r_0c0543,1
r_98f212,1
r_ed077e,1
r_628803,1
r_80c1d9,1
r_1921ad,1
r_7f2ef9,1
r_cf6e30,1
r_e28090,1
r_aff24c,1
r_d99e9e,1
r_c8b600,1
r_6d1d9f,1
r_4fa52a,1
r_b95f50,1
r_b5a4d6,1
r_22c5a8,1
r_ba7950,1
r_4f08f1,1
r_f30606,1
r_687d2d,1
r_219cdf,1
r_e1364c,1
r_34fa8b,1
r_9bcd66,1
r_f02d88,1
r_e04ad7,1
r_f36ec1,1
r_65ee6d,1
r_0b9e7b,1
r_da4f44,1
r_26dce7,1
r_e36e90,1
r_dffff1,1
r_d15d7b,1
r_9a81b9,1
r_d39a1b,1
r_e62967,1
r_5d922c,1
r_a967ba,1
r_639ea3,1
r_b2f3e4,1
r_92b1ef,1
r_01eed5,1
r_8c1b1c,1
r_2ca329,1
r_931cd0,1
r_7dfb6f,1
r_32d73d,1
r_718b5d,1
r_9d49d5,1
r_0db109,1
r_f23e7e,1
r_36c840,1
r_8ec1d2,1
r_e27327,1
r_55b16e,1
r_a86d77,1
r_04338c,1
r_508813,1
r_d05b01,1
r_44ecf4,1
r_03cacd,1
r_db8e9e,0
r_5d3c6c,0
r_2c064c,0
r_3e6c38,0
r_b310e2,0
r_bdb252,0
r_2e7e53,0
r_aa7b6e,0
r_e0c308,0
r_34a82b,0
r_51eb02,0
r_b0e8d7,0
r_c83b80,0
r_96e8ac,0
r_00699e,0
r_ddd3ba,0
r_4415fc,0
r_8cf47c,0
r_208129,0
r_fffbc0,0
r_8133a3,0
r_6d2692,0
r_f7607e,0
r_fcfc92,0
r_5f6642,0
r_ae3190,0
r_58b7f9,0
r_7a6de1,0
r_7c05fc,0
r_9819c4,0
r_a5e806,0
r_9650af,0
r_9289c0,0
r_12b910,0
r_f82974,0
r_d90917,0
r_08073a,0
r_85216f,0
r_504b7d,0
r_fe8202,0
r_522dfc,0
r_eeeca3,0
r_739f29,0
r_d8e443,0
r_3ffa11,0
r_c91fb3,0
r_abe4d3,0
r_fa2505,0
r_664443,0
r_469839,0
r_ac64c2,0
r_d35788,0
r_ebefd1,0
r_ff8d15,0
r_b61949,0
r_a62a0f,0
r_361321,0
r_67fcd0,0
r_67ad8b,0
r_7da280,0
r_da5685,0
r_91b662,0
r_e623c9,0
r_0b0208,0
r_62da62,0
r_5b47ec,0
r_79158c,0
r_a1000c,0
r_0d180d,0
r_22089d,0
r_cec9c3,0
r_9959aa,0
r_9df97d,0
r_70516b,0
r_58ba36,0
r_3cf27c,0
r_810df9,0
r_a42b4f,0
r_0319ff,0
r_0a4f56,0
r_0358f9,0
r_31dae4,0
r_83d431,0
r_6d63a4,0
r_6016fd,0
r_74891d,0
r_9c3aee,0
r_d41b97,0
r_95ddb1,0
r_e7b4a1,0
r_32107a,0
r_0fb69f,0
r_6ea6b8,0
r_fc9339,0
r_bda9b8,0
r_804f80,0
r_5c1e26,0
r_497493,0
r_ef934a,0
r_9eab1f,0
r_13a56d,0
r_df71f2,0
r_6c5ae9,0
r_1bf9d0,0
r_296cbd,0
r_1026e6,0
r_67ed67,0
r_a2d548,0
r_4e9522,0
r_8e1866,0
r_ddf359,0
r_de0933,0
r_084ec6,0
r_859edd,0
r_5eb650,0
r_ffdfa0,0
r_23ea5a,0
r_565f4e,0
r_cd2808,0
r_0145ec,0
r_b8e28f,0
r_7c7d6c,0
r_5e6a4e,0
r_121501,0
r_288159,0
r_dfccfe,0
r_92d9c2,0
r_d98771,0
