restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city
r001,21.0,0.7681179973391264,0.7619047619047619,0.0,4.2051984301360825,4.059564623631056,0.0,4.2051984301360825,Restaurant 1,SoHo,Pizza,NYC
r002,21.0,0.7548743817438419,0.7619047619047619,0.047619047619047616,4.136640282864905,4.239707759938867,0.10306747707396191,4.085106544327924,Restaurant 2,Chinatown,Thai,NYC
r003,27.0,0.7459919862388747,0.7407407407407407,0.07407407407407407,4.36188689064418,4.555676920092713,0.1937900294485333,4.264991875919913,Restaurant 3,Midtown,Italian,NYC
r004,26.0,0.7464835627106283,0.7307692307692307,0.07692307692307693,4.289173122024653,4.271195047474533,0.0,4.289173122024653,Restaurant 4,SoHo,BBQ,NYC
r005,28.0,0.7147338632582388,0.6785714285714286,0.10714285714285714,4.2358679531795875,4.310447096032876,0.07457914285328826,4.198578381752943,Restaurant 5,SoHo,Deli,NYC
r006,27.0,0.7443575503097393,0.7407407407407407,0.037037037037037035,4.204493643513115,4.230379280292196,0.025885636779080734,4.191550825123574,Restaurant 6,East Village,Pizza,NYC
r007,27.0,0.7939999550187347,0.8148148148148148,0.07407407407407407,4.095583041872701,4.260857703633207,0.1652746617605061,4.012945710992448,Restaurant 7,SoHo,Thai,NYC
r008,23.0,0.832654696911506,0.8695652173913043,0.0,4.232429776724311,4.064621358327864,0.0,4.232429776724311,Restaurant 8,Midtown,BBQ,NYC
r009,26.0,0.7422832397185635,0.7307692307692307,0.038461538461538464,4.227628779572512,4.344282147739044,0.11665336816653227,4.169302095489245,Restaurant 9,East Village,BBQ,NYC
r010,26.0,0.6853736384967402,0.6538461538461539,0.15384615384615385,4.180083065790273,4.157814929452701,0.0,4.180083065790273,Restaurant 10,Midtown,BBQ,NYC
r011,23.0,0.8096214701187899,0.8695652173913043,0.043478260869565216,4.157952891306116,4.241786673309287,0.08383378200317093,4.116036000304531,Restaurant 11,Flushing,Thai,NYC
r012,26.0,0.7752938534868961,0.8076923076923077,0.07692307692307693,4.148953837543611,4.1193767861854225,0.0,4.148953837543611,Restaurant 12,Astoria,Mexican,NYC
r013,22.0,0.8271648785004949,0.8636363636363636,0.0,4.195277660707012,4.275199196700709,0.07992153599369711,4.155316892710163,Restaurant 13,East Village,Italian,NYC
r015,28.0,0.775070068037433,0.7857142857142857,0.07142857142857142,4.197278411114663,4.257012011184657,0.059733600069994175,4.167411611079666,Restaurant 15,Chinatown,Italian,NYC
r016,33.0,0.7671271219772968,0.696969696969697,0.030303030303030304,4.14150272226568,4.223536055226495,0.0820333329608145,4.100486055785273,Restaurant 16,Midtown,Ramen,NYC
r017,33.0,0.7074597720828476,0.696969696969697,0.15151515151515152,4.257963877496489,4.318788668629577,0.06082479113308814,4.227551481929945,Restaurant 17,SoHo,Korean,NYC
r018,29.0,0.7318981391992077,0.7586206896551724,0.06896551724137931,4.130114337627159,4.120684598038423,0.0,4.130114337627159,Restaurant 18,Flushing,Korean,NYC
r019,27.0,0.7537166880122711,0.7407407407407407,0.037037037037037035,4.209465680579051,4.261261888532463,0.05179620795341222,4.183567576602345,Restaurant 19,Harlem,Ramen,NYC
r020,31.0,0.7576448037350063,0.6774193548387096,0.03225806451612903,4.302520849160997,4.385291081899723,0.08277023273872608,4.261135732791634,Restaurant 20,Chinatown,Pizza,NYC
r021,27.0,0.7573920766744652,0.7407407407407407,0.037037037037037035,4.1756026880336785,4.260899194342962,0.08529650630928387,4.132954434879037,Restaurant 21,Astoria,BBQ,NYC
r022,31.0,0.8126301035500823,0.8709677419354839,0.0,4.169158126125865,4.127167370437304,0.0,4.169158126125865,Restaurant 22,SoHo,Deli,NYC
r023,28.0,0.7631866430753417,0.8214285714285714,0.07142857142857142,4.157857252443877,4.260408920197593,0.10255166775371549,4.1065814185670195,Restaurant 23,SoHo,BBQ,NYC
r024,32.0,0.74795334726495,0.71875,0.0625,4.148409818406555,4.092726403236157,0.0,4.148409818406555,Restaurant 24,Chinatown,Ramen,NYC
r025,28.0,0.7621143754212903,0.8214285714285714,0.07142857142857142,4.175272653391066,4.2341793692527965,0.05890671586173024,4.145819295460202,Restaurant 25,Midtown,Korean,NYC
r026,32.0,0.7508851157766872,0.75,0.09375,4.161756017267713,4.177286934837528,0.01553091756981484,4.153990558482805,Restaurant 26,East Village,Thai,NYC
r027,33.0,0.7564746774484445,0.7272727272727273,0.030303030303030304,4.237500830111603,4.245274597794162,0.007773767682558663,4.233613946270324,Restaurant 27,Chinatown,Korean,NYC
r028,34.0,0.7797504560372505,0.7352941176470589,0.029411764705882353,4.210198979381177,4.203954017667903,0.0,4.210198979381177,Restaurant 28,Midtown,Korean,NYC
r029,24.0,0.8333527010246892,0.8333333333333334,0.0,4.189741587600765,4.076278876931614,0.0,4.189741587600765,Restaurant 29,Flushing,Mexican,NYC
r030,38.0,0.6859257775835697,0.5789473684210527,0.07894736842105263,4.215116227284163,4.259154037934381,0.0440378106502175,4.193097321959055,Restaurant 30,Astoria,Ramen,NYC
r031,33.0,0.7114819338099974,0.6666666666666666,0.09090909090909091,4.240519198447203,4.341648987770524,0.10112978932332162,4.189954303785542,Restaurant 31,Williamsburg,Ramen,NYC
r032,33.0,0.7944432821592003,0.8181818181818182,0.030303030303030304,4.296092720408134,4.315101000132136,0.01900827972400254,4.286588580546132,Restaurant 32,Harlem,Thai,NYC
r033,30.0,0.7551403665765918,0.7,0.1,4.332140730018593,4.241718598330155,0.0,4.332140730018593,Restaurant 33,Chinatown,Korean,NYC
r034,31.0,0.7374295192149344,0.7419354838709677,0.06451612903225806,4.01409854061348,4.132401061202338,0.11830252058885815,3.954947280319051,Restaurant 34,Williamsburg,BBQ,NYC
r035,37.0,0.7606340783738044,0.7027027027027027,0.02702702702702703,4.067915415587463,4.1906642242324885,0.12274880864502524,4.00654101126495,Restaurant 35,Midtown,Italian,NYC
r036,42.0,0.7806825379085653,0.8095238095238095,0.047619047619047616,4.131034677512812,4.152371821198724,0.021337143685911997,4.120366105669856,Restaurant 36,Astoria,Deli,NYC
r037,50.0,0.7498792482877495,0.78,0.1,4.287699328485581,4.248920744864743,0.0,4.287699328485581,Restaurant 37,Chinatown,BBQ,NYC
r039,25.0,0.7336344240771315,0.8,0.12,4.216331695343662,4.30518816478171,0.08885646943804826,4.1719034606246375,Restaurant 39,East Village,Thai,NYC
r040,27.0,0.7912953103705234,0.7777777777777778,0.0,4.348391111874715,4.400465396376123,0.0520742845014075,4.322353969624011,Restaurant 40,East Village,Ramen,NYC
r041,33.0,0.7571760443435835,0.7272727272727273,0.06060606060606061,4.24032582173703,4.2489675584287,0.008641736691670232,4.236004953391195,Restaurant 41,Flushing,Mexican,NYC
r042,30.0,0.7677893697089909,0.7666666666666667,0.06666666666666667,4.16401943229298,4.118000441059658,0.0,4.16401943229298,Restaurant 42,SoHo,Thai,NYC
r043,28.0,0.7700350182130051,0.7142857142857143,0.07142857142857142,4.20916241762265,4.200380382792392,0.0,4.20916241762265,Restaurant 43,Harlem,Thai,NYC
r044,41.0,0.7610935244136579,0.7317073170731707,0.07317073170731707,4.214261087519385,4.226031732100786,0.01177064458140098,4.208375765228684,Restaurant 44,Astoria,Deli,NYC
r045,32.0,0.7777604978831474,0.78125,0.03125,4.318243612691799,4.348644991581897,0.03040137889009742,4.303042923246751,Restaurant 45,Astoria,Italian,NYC
r046,39.0,0.7643559550537402,0.717948717948718,0.10256410256410256,4.335174123851891,4.490581182627056,0.15540705877516547,4.2574705944643085,Restaurant 46,Chinatown,Italian,NYC
r047,39.0,0.7973370909963607,0.8461538461538461,0.05128205128205128,4.217874247205946,4.3068061034597545,0.08893185625380884,4.173408319079041,Restaurant 47,Midtown,BBQ,NYC
r048,29.0,0.7434916275791668,0.6896551724137931,0.0,4.233460485851418,4.277775220096545,0.044314734245126886,4.211303118728854,Restaurant 48,Chinatown,Deli,NYC
